order_date,order_id,item_id,size,price,qty,status,total
2025-10-01,10,2,,2.5,1,Completed,2.5
2025-10-01,10,3,,1.5,2,Completed,3
2025-10-01,10,1,Small,3.75,1,Completed,3.75
2025-10-01,11,5,,2.75,1,Completed,2.75
2025-10-01,11,6,,1.75,2,Completed,3.5
2025-10-01,11,2,,2.5,1,Completed,2.5
2025-10-01,11,3,,3.5,1,Completed,3.5
2025-10-01,11,4,,3.75,2,Completed,7.5
2025-10-01,11,5,,1.5,1,Completed,1.5
2025-10-01,12,6,Large,5.5,2,Completed,11
2025-10-01,12,7,,2.5,1,Completed,2.5
2025-10-01,12,1,Large,3.5,1,Completed,3.5
2025-10-01,13,1,Small,2.75,2,Completed,5.5
2025-10-01,13,6,Small,1.5,1,Completed,1.5
2025-10-01,13,8,Small,3.5,1,Completed,3.5
2025-10-01,13,1,Small,2.5,2,Completed,5
2025-10-01,14,6,Large,2.75,1,Completed,2.75
2025-10-01,14,1,Large,2.75655,2,Completed,5.5131
2025-10-01,14,8,Large,2.75,2,Completed,5.5
2025-10-01,14,1,Large,2.7556,2,Completed,5.5112
2025-10-01,14,4,,5.5,1,Completed,5.5
2025-10-01,14,3,,2.75,2,Completed,5.5
2025-10-01,14,2,,3.5,1,Completed,3.5
2025-10-01,14,6,Large,3.015,3,Completed,9.045
2025-10-02,15,2,,2.568,2,Completed,5.136
2025-10-03,16,6,Large,6.586,3,Completed,19.758
2025-10-01,17,10,,2.5,1,Completed,2.5
2025-10-01,17,9,,2.75636,1,Completed,2.75636
2025-10-01,17,7,,5.63982,1,Completed,5.63982
2025-10-05,18,1,Small,2.5698,2,Completed,5.1396
2025-10-05,18,6,Small,5.36245,2,Completed,10.7249
2025-10-05,18,8,Small,5.23569,2,Completed,10.47138
2025-10-01,19,2,,2.75698,1,Completed,2.75698
2025-10-01,19,4,,2.356,1,Completed,2.356
2025-10-01,19,5,,2.457,2,Completed,4.914
2025-10-01,19,7,,2.6359,1,Completed,2.6359
2025-10-01,19,9,,6.523,1,Completed,6.523
2025-10-01,19,10,,8.5412,3,Completed,25.6236
2025-10-01,19,6,Large,5.683,2,Completed,11.366
2025-10-01,19,2,,6.3564,1,Completed,6.3564
2025-10-01,19,5,,7.235,1,Completed,7.235
2025-10-01,19,7,,2.365,1,Completed,2.365
2025-10-01,20,1,Large,2.3658,1,Completed,2.3658
2025-10-01,20,3,,2.356,1,Completed,2.356
2025-10-01,20,6,Large,1.256,1,Completed,1.256
2025-10-01,20,4,,2.635,1,Completed,2.635
2025-10-01,20,5,,5.21,1,Completed,5.21
2025-10-01,20,7,,6.325,2,Completed,12.65
2025-10-01,20,8,Small,7.2514,1,Completed,7.2514
2025-10-01,20,9,,2.3999,1,Completed,2.3999
2025-10-01,20,4,,2.356,3,Completed,7.068
2025-10-01,20,6,Small,4.5326,2,Completed,9.0652
